address,price,details
"310 Red Maple Rd UNIT 1009, Richmond Hill, ON L4C 0T7","C$399,000",1 bd1 ba- Condo for sale
"77 Silver Dart Cres, Richmond Hill, ON L4E 3T8","C$899,000",3 bds4 ba- Townhouse for sale
"2 Princeton Ave, Richmond Hill, ON L4S 2E2","C$1,699,000",5 bds5 ba- House for sale
"100 Old Surrey Ln, Richmond Hill, ON L4C 8S6","C$1,988,000",-- sqft lot- Lot / Land for sale
"189 Springhead Gdns #35, Richmond Hill, ON L4C 5C7","C$600,000","3 bds2 ba1,761 sqft- House for sale"
"20 Wellspring Ave, Richmond Hill, ON L4E 4Z6","C$1,198,000",4 bds5 ba- House for sale
"20 Mojave Cres, Richmond Hill, ON L4S 1R4","C$1,645,000",4 bds4 ba- House for sale
"361 Paliser Cres S, Richmond Hill, ON L4C 1S1","C$999,000",3 bds3 ba- House for sale
"97 Lawrence Ave, Richmond Hill, ON L4C 1Z2","C$999,000",3 bds3 ba- House for sale
"77 Sunset Beach Rd, Richmond Hill, ON L4E 3G7","C$1,238,800",3 bds2 ba- House for sale
"88 Port Arthur Cres, Richmond Hill, ON L4E 0Z9","C$988,000",3 bds3 ba- Townhouse for sale
"320 Gells Rd, Richmond Hill, ON L4C 3A6","C$1,288,000",3 bds2 ba- House for sale
"29 Bellflower Ln, Richmond Hill, ON L4E 1E7","C$1,049,900",3 bds3 ba- Townhouse for sale
"169 Milos Rd, Richmond Hill, ON L4E 0M8","C$1,688,888",5 bds4 ba- House for sale
"17 Brower Ave, Richmond Hill, ON L4E 4Y7","C$1,599,000",4 bds4 ba- House for sale
"20 Harding Blvd #805, Richmond Hill, ON L4C 0T3","C$788,000",2 bds2 ba- Condo for sale
"1 Bond Cres #261, Richmond Hill, ON L4E 3K2","C$899,000",3 bds3 ba- Townhouse for sale
"208 Kingshill Rd, Richmond Hill, ON L4E 4V4","C$1,250,000",4 bds4 ba- House for sale
"48 Crescendo Ave, Richmond Hill, ON L4S 2S1","C$1,496,800",3 bds4 ba- House for sale
"94 Rockport Cres, Richmond Hill, ON L4C 2L8","C$1,250,000",5 bds2 ba- House for sale
"109 Mcalister Ave, Richmond Hill, ON L4S 0L2","C$1,058,000",3 bds3 ba- Townhouse for sale
"121 Hunt Ave, Richmond Hill, ON L4C 4H1","C$1,188,000",3 bds4 ba- House for sale
"28 Jocada Ct, Richmond Hill, ON L4E 0Z5","C$1,280,000",5 bds4 ba- House for sale
"242 N Lake Rd, Richmond Hill, ON L4E 2Z8","C$1,588,888",5 bds3 ba- House for sale
"71 Lena Dr, Richmond Hill, ON L4S 2V1","C$1,369,000",3 bds3 ba- House for sale
"55 Ellery Dr, Richmond Hill, ON L4C 9A8","C$1,765,000",4 bds4 ba- House for sale
"2 Harvest Ct, Richmond Hill, ON L4E 4V3","C$1,188,000",3 bds4 ba- House for sale
"77 Willett Cres, Richmond Hill, ON L4C 7W5","C$2,348,000",6 bds6 ba- House for sale
