address,price,details
"23 Charing Cross Ln, Markham, ON L6E 0A1","C$839,000",4 bds4 ba- Townhouse for sale
"26 Hyderabad Ln, Markham, ON L6E 0T8","C$799,000",3 bds4 ba- Townhouse for sale
"111 Rougehaven Way, Markham, ON L3P 7W5","C$968,000",4 bds2 ba- Townhouse for sale
"14 Bishop Cres, Markham, ON L3P 4N6","C$999,000",3 bds3 ba- House for sale
"92 Roy Grove Way, Markham, ON L6E 0T7","C$849,000",3 bds3 ba- Townhouse for sale
"9388 Kennedy Rd, Markham, ON L6C 0Y6","C$988,000",3 bds3 ba- Townhouse for sale
"2 Dunsheath Way #112, Markham, ON L6B 1N3","C$731,000",2 bds2 ba- Townhouse for sale
"21 Honeybourne Cres, Markham, ON L3P 1P4","C$1,620,000",3 bds3 ba- House for sale
"7340 Markham Rd #209, Markham, ON L3S 0B1","C$699,000",2 bds2 ba- Condo for sale
"233 Risebrough Cir, Markham, ON L3R 3J3","C$1,298,000",4 bds4 ba- House for sale
"24 Guinevere Rd, Markham, ON L3S 4S9","C$1,029,800",4 bds4 ba- House for sale
"47 Karma Rd, Markham, ON L3R 4S8","C$1,060,000",3 bds2 ba- House for sale
"8 Fonthill Blvd, Markham, ON L3R 1V6","C$2,018,800",4 bds5 ba- House for sale
"14 Wales Ave, Markham, ON L3P 2C1","C$999,000",Studio-- ba- House for sale
"8323 Kennedy Rd #111, Markham, ON L3R 5W7","C$495,000",1 bd1 ba- Condo for sale
"42 Littleleaf Cres, Markham, ON L3S 4G1","C$1,388,000",4 bds4 ba- House for sale
"2 Westmeath Ln #2117, Markham, ON L6B 1N5","C$668,000",2 bds2 ba- Condo for sale
"51 Times Ave #102, Markham, ON L3T 7X7","C$458,800",1 bd1 ba- Condo for sale
"68 Emeline Cres, Markham, ON L3P 4G4","C$1,350,000",4 bds3 ba- House for sale
"36 Lehman Cres, Markham, ON L3P 5W9","C$1,198,000",4 bds3 ba- House for sale
"15 Morning Dove Dr, Markham, ON L6B 1L4","C$799,000",3 bds3 ba- Townhouse for sale
"54 Smoothwater Ter, Markham, ON L6B 0E8","C$1,399,000",4 bds5 ba- House for sale
"180 Enterprise Blvd #308, Markham, ON L6G 0E6","C$499,900",2 bds1 ba- Condo for sale
"145 Terry Fox St, Markham, ON L6B 0W9","C$970,000",3 bds3 ba- Townhouse for sale
"25 Water Walk Dr #225, Markham, ON L6G 0G3","C$719,000",2 bds2 ba- Condo for sale
"5 Grandview Blvd, Markham, ON L3P 1E9","C$1,699,900",3 bds1 ba- House for sale
"8 Doncrest Dr, Markham, ON L3T 2T1","C$8,488,000",5 bds9 ba- House for sale
"67 Mccarty Cres, Markham, ON L3P 4R5","C$1,599,000",4 bds5 ba- House for sale
"10 Doncrest Dr, Markham, ON L3T 2T1","C$4,888,000",6 bds9 ba- House for sale
"19 Pearl Lake Rd, Markham, ON L6B 0X4","C$1,199,000",4 bds5 ba- House for sale
"32 Coleluke Ln, Markham, ON L3S 0B7","C$1,088,800",4 bds4 ba- House for sale
"62 Suncrest Blvd #712, Markham, ON L3T 7Y6","C$689,000",2 bds2 ba- Condo for sale
"82 Stonechurch Cres, Markham, ON L6B 0H4","C$1,180,000",4 bds4 ba- House for sale
"43 Albert Lewis St, Markham, ON L6B 0Z3","C$1,449,990",4 bds4 ba- House for sale
"55 Hendon Rd, Markham, ON L3R 0P7","C$1,299,000",4 bds6 ba- House for sale
"37 Tufo Ave, Markham, ON L6C 0H8","C$1,088,000",4 bds4 ba- House for sale
"0 Tillie Sq, Markham, ON L3S 4R5","C$299,900",Studio-- ba- House for sale
"294 Delray Dr, Markham, ON L6E 0R1","C$860,000",3 bds3 ba- House for sale
"30 Dickson Hill Rd, Markham, ON L3P 3J3","C$1,686,000",4 bds4 ba- House for sale
"12 Heisey Dr, Markham, ON L3P 4P7","C$1,880,000",4 bds5 ba- House for sale
"228 Church St, Markham, ON L3P 2M7","C$1,500,000",4 bds5 ba- House for sale
"31 Daffodil Ave, Markham, ON L3T 1N3","C$2,999,000",5 bds4 ba- House for sale
"1680 John St, Markham, ON L3T 1Y9","C$739,900",4 bds2 ba- Condo for sale
"14 Rossmore Dr, Markham, ON L6B 0Z3","C$1,388,000",6 bds6 ba- House for sale
"189 Rustle Woods Ave, Markham, ON L6B 1P8","C$988,000",5 bds3 ba- Townhouse for sale
"9 Natasha Way, Markham, ON L3R 5P6","C$929,000",4 bds3 ba- Condo for sale
"50 Inverlochy Blvd #1201, Markham, ON L3T 4T6","C$549,000",3 bds2 ba- Condo for sale
