address,price,details
"18 Journal Ave, Vaughan, ON L6A 3H1","C$1,099,999",3 bds4 ba- House for sale
"35 Alex Black St, Vaughan, ON L6A 0V5","C$2,099,000",4 bds4 ba- House for sale
"55 Hollybush Dr, Vaughan, ON L6A 2H5","C$1,099,888",3 bds4 ba- House for sale
"9245 Jane St UNIT 312, Vaughan, ON L6A 0J9","C$549,900",1 bd2 ba- Condo for sale
"29 Sanibel Cres, Vaughan, ON L4J 8G9","C$3,175,000",4 bds6 ba- House for sale
"36 Zafarullah Khan Cres, Vaughan, ON L6A 3A5","C$1,299,000",5 bds5 ba- House for sale
"158 Bachman Dr, Vaughan, ON L6A 3R7","C$1,290,888",3 bds4 ba- House for sale
"245 Ahmadiyya Ave, Vaughan, ON L6A 3A6","C$1,290,000",5 bds4 ba- House for sale
"2900 Highway 7 Rd #504, Vaughan, ON L4K 0G2","C$569,900",1 bd2 ba- Condo for sale
"16 Ferretti St, Vaughan, ON L6A 0H6","C$1,790,000",4 bds5 ba- House for sale
"2900 Highway 7 Rd W #2506, Vaughan, ON L4K 0G3","C$784,900",2 bds2 ba- Condo for sale
"5289 Highway 7 #B202, Vaughan, ON L4L 8P7","C$718,000",2 bds2 ba- Townhouse for sale
"29 Pinewood Dr, Vaughan, ON L4J 5P4","C$2,288,000",4 bds4 ba- House for sale
"82 Westolivia Trl, Vaughan, ON L4J 0C1","C$999,800",4 bds4 ba- House for sale
"544 Mactier Dr, Vaughan, ON L4H 4T9","C$1,728,880",5 bds4 ba- House for sale
"223 Kayla Cres, Vaughan, ON L6A 3P3","C$1,118,000",4 bds3 ba- House for sale
"108 Sunset Ter, Vaughan, ON L4H 4S2","C$1,128,888",3 bds3 ba- Townhouse for sale
"23 Siena Dr, Vaughan, ON L4H 3K2","C$1,779,999",5 bds4 ba- House for sale
"27 Glenheron Cres, Vaughan, ON L6A 0G2","C$2,368,000",4 bds4 ba- House for sale
"950 Portage Pkwy #612, Vaughan, ON L4K 3Y8","C$819,000",3 bds2 ba- Condo for sale
"2910 Highway 7 Rd W #704, Vaughan, ON L4K 0G3","C$799,000",2 bds2 ba- Condo for sale
"84 Kingsview Dr, Vaughan, ON L4H 3A2","C$1,428,000",4 bds6 ba- House for sale
"329 Via Romano Blvd, Vaughan, ON L6A 0J3","C$1,758,900",6 bds4 ba- House for sale
"37 Big Hill Cres, Vaughan, ON L6A 4S1","C$1,120,000",3 bds3 ba- Townhouse for sale
"9672 Keele St, Vaughan, ON L6A 3Y6","C$1,790,000",3 bds2 ba- House for sale
"29 Strong Ave, Vaughan, ON L6A 4X2","C$2,299,000",6 bds5 ba- House for sale
"116 Renaissance Ct, Vaughan, ON L4J 7W4","C$3,999,000",5 bds6 ba- House for sale
"80 Modesto Gdns, Vaughan, ON L4L 8E1","C$2,799,000",5 bds6 ba- House for sale
"112 Peak Point Blvd, Vaughan, ON L6A 0C1","C$1,095,000",4 bds4 ba- House for sale
"333 Clark Ave W #516, Vaughan, ON L4J 7K4","C$1,280,000",2 bds2 ba- Condo for sale
"22 Chaya Sara Gdns, Vaughan, ON L6A 0Z6","C$2,638,800",4 bds6 ba- House for sale
"146 Simmons St, Vaughan, ON L4H 4X7","C$1,699,900",1 bd1 ba- House for sale
"137 Moraine Hill Dr, Vaughan, ON L6A 4P7","C$2,179,900",4 bds5 ba- House for sale
"950 Portage Pkwy #3812, Vaughan, ON L4K 0J3","C$639,900",2 bds2 ba- Condo for sale
"124 Franklin Ave, Vaughan, ON L4J 4X6","C$2,367,000",5 bds5 ba- House for sale
"369 Melville Ave, Vaughan, ON L6A 2N8","C$1,799,999",4 bds4 ba- House for sale
"9500 Highway 27 Rd, Vaughan, ON L0G 1C0","C$3,290,000",3 bds3 ba- House for sale
"9235 Jane St UNIT 1401, Vaughan, ON L6A 0J8","C$1,050,000",2 bds2 ba- Condo for sale
"20 Modesto Gdns, Vaughan, ON L4L 8V2","C$1,868,800",4 bds4 ba- Condo for sale
"4 Longbridge Rd, Vaughan, ON L4J 1L5","C$3,800,000",3 bds4 ba- House for sale
"33 Kaia Ct, Vaughan, ON L6A 4T9","C$3,588,000",5 bds7 ba- House for sale
"218 Arnold Ave, Vaughan, ON L4J 1B9","C$3,699,000",5 bds8 ba- House for sale
"38 Riverside Blvd, Vaughan, ON L4J 1H3","C$5,288,000",5 bds5 ba- House for sale
