address,price,details
"100 John St #1708, Brampton, ON L6W 0A8","C$669,000",2 bds2 ba- Condo for sale
"6 Grouse Ln, Brampton, ON L6Y 5L1","C$1,499,000",4 bds5 ba- House for sale
"77 Bonistel Cres, Brampton, ON L7A 3G9","C$1,169,000",4 bds4 ba- House for sale
"80 Stedford Cres, Brampton, ON L7A 4P5","C$999,000",4 bds3 ba- House for sale
"30 Pride Ct, Brampton, ON L6Y 5H3","C$2,650,000",4 bds5 ba- House for sale
"14 Crown Forest Ct, Brampton, ON L6Y 2Y5","C$2,689,000",5 bds5 ba- House for sale
"32 Faywood Dr, Brampton, ON L6Y 4K3","C$899,900",4 bds4 ba- House for sale
"4 Miracle Trl, Brampton, ON L7A 0Y3","C$899,000",3 bds3 ba- House for sale
"21 Riverbank Rd, Brampton, ON L6R 2H4","C$1,149,999",8 bds4 ba- House for sale
"17 Cranberry Cres, Brampton, ON L6Y 4P7","C$899,000",4 bds4 ba- House for sale
"577 Edenbrook Hill Dr, Brampton, ON L7A 4T4","C$1,149,000",6 bds5 ba- House for sale
"45 Kingswood Dr, Brampton, ON L6V 2X5","C$749,900",4 bds1 ba- Townhouse for sale
"54 Sky Harbour Dr #207, Brampton, ON L6Y 6B9","C$449,900",2 bds1 ba- Condo for sale
"10 Stalbridge Ave, Brampton, ON L6Y 4H1","C$899,900",5 bds4 ba- House for sale
"20 Brentwood Dr, Brampton, ON L6T 1P9","C$849,900",4 bds2 ba- House for sale
"32 Faywood Dr, Brampton, ON L6Y 4K3","C$899,900",4 bds4 ba- House for sale
"1 Wayne Nicol Dr, Brampton, ON L6X 3Y5","C$998,888",7 bds4 ba- House for sale
"14 Crown Forest Ct, Brampton, ON L6Y 2Y5","C$2,689,000",5 bds5 ba- House for sale
"45 Kingswood Dr, Brampton, ON L6V 2X5","C$749,900",4 bds1 ba- Townhouse for sale
"23 Delmonico Rd, Brampton, ON L6P 2W8","C$1,499,000",7 bds6 ba- House for sale
"17 Abercrombie Cres, Brampton, ON L7A 4N1","C$1,299,000",6 bds5 ba- House for sale
"2 Garden Park Ln, Brampton, ON L6X 0H1","C$799,000",3 bds3 ba- Townhouse for sale
"20 Brentwood Dr, Brampton, ON L6T 1P9","C$849,900",4 bds2 ba- House for sale
"21 Riverbank Rd, Brampton, ON L6R 2H4","C$1,149,999",8 bds4 ba- House for sale
"17 Cranberry Cres, Brampton, ON L6Y 4P7","C$899,000",4 bds4 ba- House for sale
"54 Sky Harbour Dr #207, Brampton, ON L6Y 6B9","C$449,900",2 bds1 ba- Condo for sale
"577 Edenbrook Hill Dr, Brampton, ON L7A 4T4","C$1,149,000",6 bds5 ba- House for sale
"3 Dalbeattie Dr, Brampton, ON L6Y 6H3","C$799,000","4 bds3 ba1,822 sqft- Townhouse for sale"
"7 Tobermory Cres, Brampton, ON L6V 4T6","C$978,888",4 bds4 ba- House for sale
"152 Darras Ct UNIT 48, Brampton, ON L6T 1W7","C$599,000",4 bds2 ba- Townhouse for sale
"5 Lisa St #507, Brampton, ON L6T 4T4","C$429,900",2 bds2 ba- Condo for sale
"33 Ashen Tree Ln, Brampton, ON L7A 0T1","C$774,900","3 bds3 ba1,404 sqft- Townhouse for sale"
"15 Autumn Ridge Dr, Brampton, ON L6R 0X4","C$1,399,990",4 bds6 ba- House for sale
"20 Edenborough Dr, Brampton, ON L6T 3A1","C$879,900","5 bds2 ba1,100 sqft- House for sale"
"41 Lawndale Cres, Brampton, ON L6S 3L3","C$799,900",4 bds3 ba- House for sale
"32 Possession Cres, Brampton, ON L6P 4K3","C$2,329,000",5 bds5 ba- House for sale
"2510 Countryside Dr #29, Brampton, ON L6R 3T4","C$699,000",4 bds4 ba- Townhouse for sale
"18 Drayglass Ct, Brampton, ON L6Z 4E9","C$979,999","4 bds4 ba3,080 sqft- House for sale"
"7 Trudelle Cres, Brampton, ON L7A 2Z5","C$799,000",3 bds3 ba- House for sale
"10 Autumn Olive Way, Brampton, ON L6P 4L4","C$3,599,999",5 bds8 ba- House for sale
"48 Rainbrook Clos, Brampton, ON L6R 0Y9","C$1,399,900",4 bds5 ba- House for sale
"71 Mannel Cres, Brampton, ON L6Y 5E3","C$1,089,000",5 bds4 ba- House for sale
"76 Fallmeadow Cir, Brampton, ON L6Y 0Y7","C$850,000",3 bds3 ba- House for sale
"57 Briar Path #7, Brampton, ON L6T 2A3","C$599,999",3 bds2 ba- Condo for sale
"399 Vodden St E #24, Brampton, ON L6V 3V1","C$669,000",3 bds3 ba- Condo for sale
"81 Mullis Cres, Brampton, ON L6Y 4S9","C$949,991",3 bds4 ba- House for sale
"12 Birch Lake Ct, Brampton, ON L6P 3M6","C$1,179,900",6 bds4 ba- House for sale
"43 Kempenfelt Trl, Brampton, ON L7A 0Z7","C$839,900",3 bds4 ba- Townhouse for sale
"1 Faye St, Brampton, ON L6P 4M9","C$975,000",4 bds4 ba- Townhouse for sale
"95 Meltwater Cres, Brampton, ON L6P 3W6","C$979,900",6 bds4 ba- House for sale
"90 Castlehill Rd, Brampton, ON L6X 4C7","C$1,079,900",4 bds4 ba- House for sale
"116 Moregate Cres, Brampton, ON L6S 3K9","C$599,900",3 bds2 ba- Townhouse for sale
"87 Pertosa Dr, Brampton, ON L6X 4W7","C$1,099,000",4 bds4 ba- House for sale
"70 Cheviot Cres, Brampton, ON L6Z 4G7","C$849,900",3 bds3 ba- House for sale
"93 Sea Drifter Cres, Brampton, ON L6P 4A8","C$869,000",3 bds3 ba- Townhouse for sale
"8305 Mclaughlin Rd #27, Brampton, ON L6Y 5G3","C$649,000",3 bds4 ba- Townhouse for sale
"30 Woodsend Run, Brampton, ON L6Y 4G8","C$715,000","4 bds4 ba1,300 sqft- House for sale"
"306 Bartley Bull Pkwy, Brampton, ON L6W 2L3","C$929,900",4 bds3 ba- House for sale
"6 Dumfries Ave, Brampton, ON L6Z 2Y5","C$849,900",3 bds3 ba- House for sale
"33 Archdekin Dr, Brampton, ON L6V 1Y1","C$799,900",3 bds2 ba- House for sale
"91 Dandelion Rd, Brampton, ON L6R 1X9","C$699,900",3 bds4 ba- House for sale
"72 Woolridge Ct, Brampton, ON L6Y 3V6","C$995,000",3 bds4 ba- House for sale
"64 Corby Cres, Brampton, ON L6Y 1H1","C$749,900",4 bds2 ba- House for sale
"6 Clearview Ct, Brampton, ON L6Z 2B1","C$849,000",3 bds3 ba- House for sale
"75 Unionville Cres, Brampton, ON L6P 2Z4","C$874,813",3 bds4 ba- Townhouse for sale
"30 Hood Cres, Brampton, ON L6Y 4S6","C$879,900",3 bds4 ba- House for sale
"33 Dunlop Ct, Brampton, ON L6X 4Z9","C$995,000",4 bds4 ba- House for sale
"32 Love Ct, Brampton, ON L6P 4H6","C$2,599,000",5 bds7 ba- House for sale
"52 Mcmurchy Ave S, Brampton, ON L6X 1Y1","C$800,000",3 bds2 ba- House for sale
"68 Ardglen Dr, Brampton, ON L6W 1V5","C$849,000",4 bds2 ba- House for sale
"17 Grand Rapids Sq, Brampton, ON L6S 2H9","C$770,000",3 bds2 ba- House for sale
"86 Charleswood Cir, Brampton, ON L7A 1Z1","C$849,900",3 bds4 ba- House for sale
"100 Swennen Dr, Brampton, ON L6V 4C9","C$799,900",3 bds3 ba- House for sale
"2 Harridine Rd, Brampton, ON L6X 3N8","C$899,900",3 bds4 ba- House for sale
"29 Badger Ave, Brampton, ON L6R 1Z2","C$849,000",3 bds3 ba- Townhouse for sale
"38 Winterfold Dr, Brampton, ON L6V 3T2","C$749,800",3 bds2 ba- House for sale
"210 Fleetwood Cres, Brampton, ON L6T 2E6","C$549,900",4 bds3 ba- Condo for sale
"2 Clay Brick Ct #44, Brampton, ON L6V 4M7","C$689,900",3 bds2 ba- Condo for sale
"22 Bramfield St, Brampton, ON L7A 2W2","C$949,000",5 bds4 ba- House for sale
"18 Pleaseley Rd, Brampton, ON L6W 1K8","C$799,000",5 bds2 ba- House for sale
"84 Canary Clos, Brampton, ON L6X 5L1","C$1,299,000",4 bds5 ba- House for sale
"124 Baffin Cres, Brampton, ON L7A 4K9","C$799,999",4 bds4 ba- Townhouse for sale
"9 Supino Cres, Brampton, ON L6P 1X2","C$1,600,000",4 bds5 ba- House for sale
"92 Corby Cres, Brampton, ON L6Y 1H1","C$608,000",3 bds2 ba- Townhouse for sale
"82 Greenmount Rd, Brampton, ON L6S 1T8","C$699,999",3 bds2 ba- House for sale
"16 Ivybridge Dr, Brampton, ON L6V 2X2","C$899,000",3 bds2 ba- House for sale
"31 Wilmont Ct, Brampton, ON L6X 4Z4","C$749,900",4 bds3 ba- Townhouse for sale
"25 Kensington Rd #204, Brampton, ON L6T 3W8","C$494,500",2 bds1 ba- Condo for sale
"113 Ashton Cres, Brampton, ON L6S 3J9","C$669,900",3 bds2 ba- Condo for sale
"59 Nuffield St, Brampton, ON L6S 4X8","C$999,999",4 bds4 ba- House for sale
"L76 Stellarton Cres, Brampton, ON L7A 5A6","C$1,899,000",7 bds6 ba- House for sale
"46 Golden Springs Dr, Brampton, ON L7A 4N5","C$799,900",4 bds4 ba- Townhouse for sale
"26 Grendon Cres, Brampton, ON L6X 5N4","C$1,499,900",4 bds6 ba- House for sale
"58 Hollowgrove Blvd, Brampton, ON L6P 1A9","C$849,900",3 bds4 ba- House for sale
"7 Hollyhedge Ct, Brampton, ON L6S 1R5","C$699,000",4 bds4 ba- House for sale
"63 Trailside Walk, Brampton, ON L6S 6H6","C$1,088,888",4 bds6 ba- House for sale
"44 Maddybeth Cres, Brampton, ON L6Y 5R8","C$1,199,999",4 bds5 ba- House for sale
"210 Fleetwood Cres #183, Brampton, ON L6T 2E6","C$549,900",4 bds3 ba- Townhouse for sale
"61 Cutters Cres, Brampton, ON L6Y 4M2","C$729,000",3 bds3 ba- Townhouse for sale
"106 Lorenzo Cir, Brampton, ON L6R 3N4","C$789,000",3 bds4 ba- Townhouse for sale
"71 Newlyn Cres, Brampton, ON L6V 3A9","C$799,900",5 bds3 ba- House for sale
"21 Sail Rd, Brampton, ON L7A 4W7","C$799,900",3 bds3 ba- Townhouse for sale
"30 Malta Ave #204, Brampton, ON L6Y 4S5","C$499,999",3 bds2 ba- Condo for sale
"10 Lacewood Cres, Brampton, ON L6S 3K4","C$999,999",4 bds4 ba- House for sale
"13 Killick Rd, Brampton, ON L7A 0Y6","C$1,099,990",3 bds4 ba- House for sale
"21 Enmount Dr, Brampton, ON L6T 4C8","C$589,000",3 bds3 ba- Condo for sale
"161 Clover Bloom Rd, Brampton, ON L6R 1S5","C$889,000","3 bds1 ba2,000 sqft- House for sale"
"26 Bonistel Cres, Brampton, ON L7A 2R3","C$1,149,900",4 bds4 ba- House for sale
"87 Seaborn Rd, Brampton, ON L6V 2C2","C$799,900",4 bds2 ba- House for sale
"21 Angelucci Dr, Brampton, ON L6P 1G7","C$1,199,900",6 bds4 ba- House for sale
"20 Wintersnow Ct, Brampton, ON L6R 3G6","C$1,399,999",5 bds4 ba- House for sale
"63 Vezna Cres, Brampton, ON L6X 5K4","C$999,999",6 bds4 ba- House for sale
"28 Dawnridge Trl, Brampton, ON L6Z 2A1","C$1,399,900",4 bds4 ba- House for sale
"12 Tufton Cres, Brampton, ON L7A 3J1","C$1,099,900",4 bds5 ba- House for sale
"182 Sunny Meadow Blvd, Brampton, ON L6R 2Z2","C$1,199,000",4 bds4 ba- House for sale
"10 Summertime Ct, Brampton, ON L6Z 2B4","C$799,000",3 bds2 ba- House for sale
"24 Black Forest Dr, Brampton, ON L6R 2M8","C$1,049,000",3 bds4 ba- House for sale
"200 Veterans Dr #63, Brampton, ON L7A 4S6","C$749,000",3 bds3 ba- Condo for sale
"14 Highland Trl, Brampton, ON L6S 1P4","C$679,000",3 bds2 ba- House for sale
"476 Fernforest Dr, Brampton, ON L6R 2V5","C$1,248,100",4 bds5 ba- House for sale
"221 Murray St, Brampton, ON L6X 3L8","C$849,000",3 bds3 ba- House for sale
"11 Francesco St, Brampton, ON L7A 4N7","C$745,900",3 bds2 ba- House for sale
"67 Roundstone Dr, Brampton, ON L6X 0K4","C$859,000",3 bds3 ba- House for sale
"27 Meltwater Cres, Brampton, ON L6P 3V8","C$1,599,000",4 bds6 ba- House for sale
"27 Scotia Dr, Brampton, ON L6Y 2W3","C$849,000",3 bds2 ba- House for sale
"71 Mandarin Cres, Brampton, ON L6S 2S2","C$749,888",3 bds3 ba- House for sale
"70 Mccleave Cres, Brampton, ON L6Y 4Y9","C$799,900",3 bds3 ba- Townhouse for sale
"13 Madronna Gdns, Brampton, ON L7A 2V5","C$929,900",4 bds4 ba- House for sale
"16 Portstewart Cres, Brampton, ON L6X 0P5","C$1,099,000",3 bds4 ba- House for sale
"281 Fleetwood Cres, Brampton, ON L6T 2E7","C$679,000",4 bds3 ba- Condo for sale
"19 Ferncastle Cres, Brampton, ON L7A 3P2","C$1,199,979",4 bds4 ba- House for sale
"14 Colorado Pl, Brampton, ON L6R 2B3","C$1,199,000",6 bds4 ba- House for sale
"129 Chipmunk Cres, Brampton, ON L6R 1B7","C$699,900",3 bds3 ba- Townhouse for sale
"50 Sky Harbour Dr #406, Brampton, ON L6Y 6B8","C$549,000",3 bds2 ba- Condo for sale
"41 Spencer Dr, Brampton, ON L7A 2A5","C$939,000",3 bds4 ba- House for sale
"57 Callandar Rd, Brampton, ON L7A 5E2","C$889,000",4 bds3 ba- House for sale
"51 Blackmere Cir, Brampton, ON L6W 4B9","C$999,000",3 bds4 ba- House for sale
"49 Allangrove Dr, Brampton, ON L7A 2M3","C$899,000",3 bds4 ba- House for sale
"23 Gondola Cres, Brampton, ON L6S 1W5","C$899,999",4 bds2 ba- House for sale
"12 Castlehill Rd, Brampton, ON L6X 4E4","C$899,000",3 bds4 ba- House for sale
"42 Domenico Cres, Brampton, ON L6P 1H5","C$899,000",3 bds4 ba- House for sale
"46 Evalene Ct, Brampton, ON L6Z 3A5","C$849,999",3 bds3 ba- House for sale
"281 Fleetwood Cres #281, Brampton, ON L6T 2E7","C$679,000",4 bds3 ba- Townhouse for sale
"6 Dunure Cres, Brampton, ON L7A 2Y5","C$999,900",4 bds4 ba- House for sale
"40 Hudson Dr, Brampton, ON L6Y 2N7","C$1,099,000",6 bds4 ba- House for sale
"107 Passfield Trl, Brampton, ON L6P 1V1","C$959,000",4 bds3 ba- Townhouse for sale
"15 Noranda Cres, Brampton, ON L6Y 0M7","C$1,499,700",4 bds4 ba- House for sale
"34 Albright Rd, Brampton, ON L6X 5C8","C$1,099,000",6 bds4 ba- House for sale
"38 Robertson Davies Dr, Brampton, ON L7A 1K3","C$1,024,900",3 bds4 ba- House for sale
"23 Mosley Cres, Brampton, ON L6Y 5C7","C$892,000",4 bds2 ba- House for sale
"33 Earl Grey Cres, Brampton, ON L7A 2L1","C$899,100",4 bds4 ba- House for sale
"49 Eden Park Dr, Brampton, ON L6T 3A5","C$619,000",4 bds2 ba- Condo for sale
"50 Craigleigh Cres, Brampton, ON L6T 2E3","C$649,000",5 bds3 ba- Condo for sale
"Lot37la Allegro Dr, Brampton, ON L6Y 5Y7","C$859,900",4 bds4 ba- House for sale
"88 Charleswood Cir, Brampton, ON L7A 1Z1","C$899,000",5 bds4 ba- House for sale
"57 Richgrove Dr, Brampton, ON L6P 1X6","C$1,799,000",4 bds5 ba- House for sale
"6 Louisburg Cres, Brampton, ON L6X 3A7","C$1,850,000",5 bds5 ba- House for sale
"51 Sweetwood Cir, Brampton, ON L7A 2X7","C$799,000",3 bds3 ba- House for sale
"200 Cresthaven Rd #59, Brampton, ON L7A 1J5","C$648,900",3 bds2 ba- Condo for sale
"10 Galtee Rd, Brampton, ON L6X 0J8","C$899,000",3 bds4 ba- House for sale
"48 Kimborough Holw, Brampton, ON L6Y 5V3","C$999,900",4 bds5 ba- House for sale
"29 Jacob Sq, Brampton, ON L6S 2M5","C$629,999",4 bds2 ba- Townhouse for sale
"79 John Carroll Dr, Brampton, ON L6P 4J1","C$1,699,000",4 bds4 ba- House for sale
"21 Haverstock Cres, Brampton, ON L7A 4E1","C$1,199,000","4 bds4 ba2,244 sqft- House for sale"
"48 Parkview Pl, Brampton, ON L6W 2G4","C$1,255,855",5 bds4 ba- House for sale
"340 Fleetwood Cres UNIT 340, Brampton, ON L6T 2E7","C$590,000",3 bds2 ba- Townhouse for sale
"16 Ecclestone Dr, Brampton, ON L6X 3L6","C$879,000",3 bds3 ba- House for sale
"3 Honeybee Dr, Brampton, ON L6R 3C5","C$999,000",4 bds4 ba- House for sale
"3 Bellhaven Cres, Brampton, ON L6R 0W7","C$799,000",3 bds3 ba- Townhouse for sale
"6 Redcastle St, Brampton, ON L7A 1P1","C$999,800",3 bds4 ba- House for sale
"46 Portrush Trl, Brampton, ON L6X 0R2","C$889,900",3 bds4 ba- House for sale
"53 Royal Orchard Dr, Brampton, ON L6X 4M6","C$788,999",2 bds2 ba- House for sale
"116 Muirland Cres, Brampton, ON L6X 4G2","C$999,900",3 bds4 ba- House for sale
"117 Muirland Cres, Brampton, ON L6X 4E9","C$980,000",6 bds4 ba- House for sale
"58 Redfinch Way, Brampton, ON L7A 2B1","C$899,900",3 bds4 ba- Townhouse for sale
"64 Stedford Cres, Brampton, ON L7A 4P5","C$999,900",3 bds3 ba- House for sale
"97 Seahorse Ave, Brampton, ON L6V 4N5","C$899,999",4 bds4 ba- House for sale
"27 Sir Michael Pl, Brampton, ON L7A 1Z4","C$1,049,000",4 bds4 ba- House for sale
